,agenda_name,agenda_id,agenda_url
0,윤석열 대통령 위헌적 비상계엄 선포 내란혐의 및 제주항공 여객기 참사 진상규명 관련 긴급현안질문 실시의 건,2207330,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_V2R5L0V1K0Q8G1O3V4I4B0J2X0G1P6
1,12.29 여객기 참사 진상규명과 피해자 및 유가족의 피해구제를 위한 특별위원회 구성의 건,2207328,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_L2O5Y0C1D0D8F1Z3F2B9Y2Z9G5B2Z3
2,철도안전법 일부개정법률안,2202049,http://likms.assembly.go.kr/bill/billDetail.do?billId=ARC_B2U4U0H7N2J2O0N8R5I5F1J9G2D2U5
3,항공사업법 일부개정법률안(대안),2207306,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Z2V4L1D2U1Z9X1L3D5M6G0P2P9D2G4
4,도로법 일부개정법률안(대안),2207307,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_S2M4X1X2K1S9N1M3N5U5J3U1A5C1O1
5,철도의 건설 및 철도시설 유지관리에 관한 법률 일부개정법률안,2202488,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_E2D4B0A7I2H6G1H6F4C2A4Z9X8G7H5
6,철도사업법 일부개정법률안,2204407,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_G2F4E0L9K2J5I1Q5P4O2N2J4G6F6N2
7,대중교통의 육성 및 이용촉진에 관한 법률 일부개정법률안,2200478,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_W2U4U0T6B1B0Z1A9Y2Z2Y0F3G0F0F9
8,교통약자의 이동편의 증진법 일부개정법률안,2202148,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Q2R4N0L7J1K0R1Q0R0P7P0N7O0W6X0
9,공항시설법 일부개정법률안,2204197,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_V2W4U0C9D2B3B1Z0A4V9W3U1V1T4S8
10,클라우드컴퓨팅 발전 및 이용자 보호에 관한 법률 일부개정법률안,2204730,http://likms.assembly.go.kr/bill/billDetail.do?billId=ARC_P2H4F1L0S1E6V1R5Y1D5V2G6Q9B8P2
11,지능정보화 기본법 일부개정법률안,2204728,http://likms.assembly.go.kr/bill/billDetail.do?billId=ARC_R2T4A1L0D1D6S1M5A1E5P2B2B9R2L9
12,통신비밀보호법 일부개정법률안,2203054,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_W2U4U0C8D2B1A1A0Y2Z7H5I3G7G8E7
13,정보통신공사업법 일부개정법률안,2201049,http://likms.assembly.go.kr/bill/billDetail.do?billId=ARC_D2H4B0L6L2H7O1O5Q2X8A4R0F9M2M1
14,기업부설연구소등의 연구개발 지원에 관한 법률안(대안),2207310,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_L2C4R1D2E0V2F1D1K3M2T3W3C4D9L5
15,원자력안전위원회의 설치 및 운영에 관한 법률 일부개정법률안,2200395,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_O2M4N0V6W0U5U1T0R1S3O5O3M9N5M3
16,연구실 안전환경 조성에 관한 법률 일부개정법률안,2206539,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2J4H1I1G2F9F1V6W5U2V2T4R4S7A1
17,나노기술개발 촉진법 일부개정법률안,2205496,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_E2D4C1C0B2J8I1H0F2G1O3N4L0K3L0
18,국가전략기술 육성에 관한 특별법 일부개정법률안,2205006,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_V2U4S1T0S0N9M2L1K2S6S0R1Q8O5X3
19,과학기술분야 정부출연연구기관 등의 설립·운영 및 육성에 관한 법률 일부개정법률안,2202783,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Y2W4W0J8I0I8G1H6F4G7B3C2B8B9Z7
20,헌법재판소법 일부개정법률안,2201253,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Q2P4O0V6W2V1U1S4A1Z3Y2Z8Y6H4G1
21,재한외국인 처우 기본법 일부개정법률안,2200862,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_P2O4N0O6J0I3H1F1O2P4N2M6S0R6Z6
22,민사집행법 일부개정법률안,2204166,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_V2U4C0C9B1B9Z1A6Z3Z5H0H5F6E9F4
23,윤석열 정부의 비상계엄 선포를 통한 내란 혐의 진상규명 국정조사계획서 승인의 건,2207147,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_W2R4D1V2O3C1F1X3Z3P5Z5P6P9Y1Z7
24,물류시설의 개발 및 운영에 관한 법률 일부개정법률안,2202276,http://likms.assembly.go.kr/bill/billDetail.do?billId=ARC_Z2N4T0B7F2L6O1R0O5O3P5B0K9Q1O8
25,주차장법 일부개정법률안,2201384,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_D2L4J0K7I0J1H1I7E5C1C2B2C7A3I4
26,역세권의 개발 및 이용에 관한 법률 일부개정법률안,2201097,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_C2Y4X0K6I2H7G1O1M2K9T3U1S5R2P4
27,공공주택 특별법 일부개정법률안(대안),2207085,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_H2S4Y1U1Z2Y7H1Z1H0D8K3K9M5F1P6
28,한국공항공사법 일부개정법률안,2200190,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_C2L4K0I5K3S0R1P6O0W6X1W6U2T9P7
29,대구경북통합신공항 건설을 위한 특별법 일부개정법률안,2200449,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_G2E4F0B6B0Z7Y1Z2X5Y4G2G4E2D0D2
30,민간임대주택에 관한 특별법 일부개정법률안(대안),2205436,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_A2P4B0X9R2X5Q1K4I2J4W5B5O4D3L2
31,도시 및 주거환경정비법 일부개정법률안,2203514,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_S2R4R0Q8Q3M0K0L9J4K0I0J8Q4P0Q7
