,Dim1,Dim2,name,party
0,-3.3356752,-7.2213774,강경숙,조국혁신당
1,7.568205,-16.369484,강대식,국민의힘
2,7.6084514,9.446863,강득구,더불어민주당
3,2.0159822,-13.282808,강명구,국민의힘
4,13.198296,-10.605734,강민국,국민의힘
5,6.41872,-9.11073,강선영,국민의힘
6,-8.347452,1.3717935,강선우,더불어민주당
7,16.509567,3.9733076,강승규,국민의힘
8,-10.668877,2.404428,강유정,더불어민주당
9,-6.626975,4.4252453,강준현,더불어민주당
10,-3.0057325,-2.397502,강훈식,더불어민주당
11,8.834914,-10.666095,고동진,국민의힘
12,4.5360117,10.290152,고민정,더불어민주당
13,17.889761,0.8857979,곽규택,국민의힘
14,-17.995932,4.041305,곽상언,더불어민주당
15,10.100475,-8.850539,구자근,국민의힘
16,14.683541,0.77823657,권성동,국민의힘
17,16.67343,-7.509204,권영세,국민의힘
18,18.605133,-0.82758695,권영진,국민의힘
19,2.6855206,10.675848,권칠승,더불어민주당
20,-8.788357,3.1995564,권향엽,더불어민주당
21,9.073017,-15.852094,김건,국민의힘
22,8.089006,10.696799,김교흥,더불어민주당
23,7.454538,-9.872566,김기웅,국민의힘
24,-15.895931,8.617757,김기표,더불어민주당
25,7.6487765,-13.797987,김기현,국민의힘
26,-1.2428714,10.657756,김남근,더불어민주당
27,-7.6364813,-0.85412043,김남희,더불어민주당
28,16.512064,-3.7568016,김대식,국민의힘
29,7.943188,-12.514108,김도읍,국민의힘
30,-4.052489,1.3309435,김동아,더불어민주당
31,0.06649871,-12.276418,김문수,더불어민주당
32,8.790048,-14.509793,김미애,국민의힘
33,0.4339918,10.139734,김민석,더불어민주당
34,6.1761594,-11.56147,김민전,국민의힘
35,7.63422,11.281102,김병기,더불어민주당
36,5.810547,10.0882,김병주,더불어민주당
37,-1.6078882,-1.066595,김상욱,국민의힘
38,13.192831,-12.192487,김상훈,국민의힘
39,14.56273,0.0087886285,김석기,국민의힘
40,7.075543,-10.866355,김선교,국민의힘
41,-0.6705716,-9.263243,김선민,조국혁신당
42,14.831597,2.3787088,김성원,국민의힘
43,-16.398954,9.415089,김성환,더불어민주당
44,-13.326153,8.175251,김성회,더불어민주당
45,9.496008,-8.74377,김소희,국민의힘
46,16.786894,0.73054254,김승수,국민의힘
47,5.5355186,10.348659,김승원,더불어민주당
48,-9.405545,14.193441,김영배,더불어민주당
49,-10.818662,5.3272943,김영진,더불어민주당
50,-5.315192,3.4440253,김영호,더불어민주당
51,-0.32153845,11.058917,김영환,더불어민주당
52,7.744708,-14.870823,김예지,국민의힘
53,-10.001847,4.786008,김용만,더불어민주당
54,-4.6867275,10.886867,김용민,더불어민주당
55,7.403693,-12.667918,김용태,국민의힘
56,-14.79419,-1.3964884,김우영,더불어민주당
57,-6.0270405,2.2170238,김원이,더불어민주당
58,7.661741,-12.394488,김위상,국민의힘
59,-13.78964,6.730929,김윤,더불어민주당
60,10.2502575,8.421567,김윤덕,더불어민주당
61,14.052163,-6.471518,김은혜,국민의힘
62,16.41509,2.760927,김장겸,국민의힘
63,10.036924,-11.161182,김재섭,국민의힘
64,-12.319847,4.695209,김재원,조국혁신당
65,18.883572,0.5033152,김정재,국민의힘
66,-10.113871,9.1123905,김정호,더불어민주당
67,9.208874,10.352511,김종민,무소속
68,8.342717,-9.49046,김종양,국민의힘
69,-12.203509,5.832551,김주영,더불어민주당
70,-17.949337,-2.3350992,김준혁,더불어민주당
71,-16.126596,4.659149,김준형,조국혁신당
72,-9.263145,14.615853,김태년,더불어민주당
73,-10.862882,4.2019434,김태선,더불어민주당
74,18.40876,5.1095705,김태호,국민의힘
75,-16.810545,8.286734,김한규,더불어민주당
76,-17.5139,9.485649,김현,더불어민주당
77,-9.660067,6.1339426,김현정,더불어민주당
78,9.201125,-9.507139,김형동,국민의힘
79,15.697482,-4.657795,김희정,국민의힘
80,16.437399,1.8480052,나경원,국민의힘
81,-4.535168,-2.9413147,남인순,더불어민주당
82,-11.906945,3.9691124,노종면,더불어민주당
83,6.944726,12.7751665,맹성규,더불어민주당
84,-1.9697113,10.625909,모경종,더불어민주당
85,-7.9211674,-0.8785663,문금주,더불어민주당
86,-9.286512,3.8879802,문대림,더불어민주당
87,-17.944809,-3.3980567,문정복,더불어민주당
88,0.0069373273,6.1607146,문진석,더불어민주당
89,-15.58137,-2.0054245,민병덕,더불어민주당
90,-12.643932,2.6376889,민형배,더불어민주당
91,-15.368098,-1.8447084,민홍철,더불어민주당
92,-14.511831,5.643334,박균택,더불어민주당
93,6.0825186,-10.474521,박대출,국민의힘
94,16.917837,1.3193662,박덕흠,국민의힘
95,-10.710866,5.9111104,박민규,더불어민주당
96,-11.243749,-3.6591167,박범계,더불어민주당
97,10.9939785,-10.359474,박상웅,국민의힘
