,name,party
0,강경숙,조국혁신당
1,강대식,국민의힘
2,강득구,더불어민주당
3,강명구,국민의힘
4,강민국,국민의힘
5,강선영,국민의힘
6,강선우,더불어민주당
7,강승규,국민의힘
8,강유정,더불어민주당
9,강준현,더불어민주당
10,강훈식,더불어민주당
11,고동진,국민의힘
12,고민정,더불어민주당
13,곽규택,국민의힘
14,곽상언,더불어민주당
15,구자근,국민의힘
16,권성동,국민의힘
17,권영세,국민의힘
18,권영진,국민의힘
19,권칠승,더불어민주당
20,권향엽,더불어민주당
21,김건,국민의힘
22,김교흥,더불어민주당
23,김기웅,국민의힘
24,김기표,더불어민주당
25,김기현,국민의힘
26,김남근,더불어민주당
27,김남희,더불어민주당
28,김대식,국민의힘
29,김도읍,국민의힘
30,김동아,더불어민주당
31,김문수,더불어민주당
32,김미애,국민의힘
33,김민석,더불어민주당
34,김민전,국민의힘
35,김병기,더불어민주당
36,김병주,더불어민주당
37,김상욱,국민의힘
38,김상훈,국민의힘
39,김석기,국민의힘
40,김선교,국민의힘
41,김선민,조국혁신당
42,김성원,국민의힘
43,김성환,더불어민주당
44,김성회,더불어민주당
45,김소희,국민의힘
46,김승수,국민의힘
47,김승원,더불어민주당
48,김영배,더불어민주당
49,김영진,더불어민주당
50,김영호,더불어민주당
51,김영환,더불어민주당
52,김예지,국민의힘
53,김용만,더불어민주당
54,김용민,더불어민주당
55,김용태,국민의힘
56,김우영,더불어민주당
57,김원이,더불어민주당
58,김위상,국민의힘
59,김윤,더불어민주당
60,김윤덕,더불어민주당
61,김은혜,국민의힘
62,김장겸,국민의힘
63,김재섭,국민의힘
64,김재원,조국혁신당
65,김정재,국민의힘
66,김정호,더불어민주당
67,김종민,무소속
68,김종양,국민의힘
69,김주영,더불어민주당
70,김준혁,더불어민주당
71,김준형,조국혁신당
72,김태년,더불어민주당
73,김태선,더불어민주당
74,김태호,국민의힘
75,김한규,더불어민주당
76,김현,더불어민주당
77,김현정,더불어민주당
78,김형동,국민의힘
79,김희정,국민의힘
80,나경원,국민의힘
81,남인순,더불어민주당
82,노종면,더불어민주당
83,맹성규,더불어민주당
84,모경종,더불어민주당
85,문금주,더불어민주당
86,문대림,더불어민주당
87,문정복,더불어민주당
88,문진석,더불어민주당
89,민병덕,더불어민주당
90,민형배,더불어민주당
91,민홍철,더불어민주당
92,박균택,더불어민주당
93,박대출,국민의힘
94,박덕흠,국민의힘
95,박민규,더불어민주당
96,박범계,더불어민주당
97,박상웅,국민의힘
98,박상혁,더불어민주당
99,박선원,더불어민주당
100,박성민,국민의힘
101,박성준,더불어민주당
102,박성훈,국민의힘
103,박수민,국민의힘
104,박수영,국민의힘
105,박수현,더불어민주당
106,박용갑,더불어민주당
107,박은정,조국혁신당
108,박정,더불어민주당
109,박정하,국민의힘
110,박정현,더불어민주당
111,박정훈,국민의힘
112,박주민,더불어민주당
113,박준태,국민의힘
114,박지원,더불어민주당
115,박지혜,더불어민주당
116,박찬대,더불어민주당
117,박충권,국민의힘
118,박해철,더불어민주당
119,박형수,국민의힘
120,박홍근,더불어민주당
121,박홍배,더불어민주당
122,박희승,더불어민주당
123,배준영,국민의힘
124,배현진,국민의힘
125,백선희,조국혁신당
126,백승아,더불어민주당
127,백종헌,국민의힘
128,백혜련,더불어민주당
129,복기왕,더불어민주당
130,부승찬,더불어민주당
131,서명옥,국민의힘
132,서미화,더불어민주당
133,서범수,국민의힘
134,서삼석,더불어민주당
135,서영교,더불어민주당
136,서영석,더불어민주당
137,서왕진,조국혁신당
138,서일준,국민의힘
139,서지영,국민의힘
140,서천호,국민의힘
141,성일종,국민의힘
142,소병훈,더불어민주당
143,손명수,더불어민주당
144,송기헌,더불어민주당
